Process Log at 2026-03-12 13:46:38.928760
----------------------------------------
Name: conhost.exe, PID: 16524, CPU: 0.0%, Memory: 11.40 MB
Name: RuntimeBroker.exe, PID: 16588, CPU: 0.0%, Memory: 33.42 MB
Name: msedgewebview2.exe, PID: 16600, CPU: 0.0%, Memory: 8.50 MB
Name: Cursor.exe, PID: 17096, CPU: 0.0%, Memory: 148.52 MB
Name: MsMpEng.exe, PID: 17220, CPU: 0.0%, Memory: 385.91 MB
Name: svchost.exe, PID: 17308, CPU: 0.0%, Memory: 10.83 MB
Name: python.exe, PID: 17752, CPU: 0.0%, Memory: 2.70 MB
Name: SearchFilterHost.exe, PID: 17944, CPU: 0.0%, Memory: 8.84 MB
Name: chrome.exe, PID: 18536, CPU: 0.0%, Memory: 59.14 MB
Name: OneDrive.Sync.Service.exe, PID: 18540, CPU: 0.0%, Memory: 7.06 MB
Name: chrome.exe, PID: 18816, CPU: 0.0%, Memory: 9.61 MB
Name: Microsoft.Media.Player.exe, PID: 18888, CPU: 0.0%, Memory: 2.03 MB
Name: svchost.exe, PID: 19004, CPU: 0.0%, Memory: 12.56 MB
Name: SystemSettings.exe, PID: 19516, CPU: 0.0%, Memory: 2.13 MB
Name: chrome.exe, PID: 19716, CPU: 0.0%, Memory: 49.99 MB
Name: svchost.exe, PID: 20060, CPU: 0.0%, Memory: 28.96 MB
Name: chrome.exe, PID: 20312, CPU: 0.0%, Memory: 81.99 MB
Name: chrome.exe, PID: 20472, CPU: 0.0%, Memory: 66.00 MB
Name: SearchProtocolHost.exe, PID: 20640, CPU: 0.0%, Memory: 14.69 MB
Name: CodeSetup-stable-2.6.18.exe, PID: 20764, CPU: 0.0%, Memory: 6.67 MB
Name: Cursor.exe, PID: 20812, CPU: 0.0%, Memory: 147.87 MB
Name: node.exe, PID: 21200, CPU: 0.0%, Memory: 32.41 MB
Name: svchost.exe, PID: 21248, CPU: 0.0%, Memory: 5.84 MB
Name: node.exe, PID: 21340, CPU: 0.0%, Memory: 297.19 MB
Name: powershell.exe, PID: 21580, CPU: 0.0%, Memory: 90.18 MB
Name: chrome.exe, PID: 21660, CPU: 0.0%, Memory: 27.30 MB
Name: chrome.exe, PID: 21712, CPU: 0.0%, Memory: 138.19 MB
Name: svchost.exe, PID: 21724, CPU: 0.0%, Memory: 17.97 MB
Name: Cursor.exe, PID: 21924, CPU: 0.0%, Memory: 233.78 MB
Name: node.exe, PID: 22140, CPU: 0.0%, Memory: 28.28 MB
Name: svchost.exe, PID: 22160, CPU: 0.0%, Memory: 7.83 MB
Name: svchost.exe, PID: 22364, CPU: 0.0%, Memory: 8.18 MB
Name: powershell.exe, PID: 22496, CPU: 0.0%, Memory: 90.13 MB

